run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94.3;8;7,50;15,50;15,50;14,12;17,25;enp0s31f6;297;282
2;112;94.0;8;10,00;14,88;14,88;14,50;15,50;enp0s31f6;302;286
3;112;93.7;8;12,50;14,88;15,00;14,50;16,12;enp0s31f6;311;283
4;112;94.3;8;6,25;15,12;15,00;14,25;16,12;enp0s31f6;309;283
5;112;94.3;8;6,25;14,62;15,12;14,38;16,50;enp0s31f6;328;311
6;112;93.9;8;6,25;16,25;15,50;14,50;17,00;enp0s31f6;305;279
7;112;94.0;8;3,75;15,50;15,75;14,38;17,75;enp0s31f6;296;277
8;112;93.8;8;3,75;15,50;15,75;14,12;18,38;enp0s31f6;334;315
9;112;94.0;8;6,25;14,88;15,62;14,50;17,62;enp0s31f6;324;309
10;112;94.0;8;5,00;14,62;15,00;14,38;17,50;enp0s31f6;327;304
11;112;93.9;8;3,75;14,75;15,25;14,12;17,12;enp0s31f6;312;294
12;112;93.9;8;3,75;15,25;15,25;14,25;17,50;enp0s31f6;287;268
13;113;94.7;8;7,50;15,12;15,25;14,00;17,50;enp0s31f6;183;171
14;112;93.9;8;5,00;14,88;15,00;14,62;17,50;enp0s31f6;223;213
15;112;94.4;8;5,00;14,75;16,12;14,50;22,50;enp0s31f6;365;348
16;99.6;83.5;8;5,00;15,12;15,12;14,50;17,75;enp0s31f6;318;297
17;112;94.1;8;3,75;14,75;15,00;14,50;16,38;enp0s31f6;331;311
18;112;93.8;8;5,00;16,75;16,25;14,50;26,00;enp0s31f6;323;301
19;113;94.6;8;1,25;15,00;15,38;14,50;18,00;enp0s31f6;300;277
20;112;94.0;8;6,25;14,75;15,25;14,50;17,12;enp0s31f6;627;586
